expression_sample,clinical_sample,position,match_type,hash_signature
F355,GSM2528460,354,positional,52ba4bb5dcabca3e079b7cfd55a06e2a
F356,GSM2528461,355,positional,fccc1572703b12f6f95dcfc9ecb9d5e7
F357,GSM2528462,356,positional,fa94b6730e400580b92ab3a38ad05b5a
F358,GSM2528463,357,positional,7a0550c30ecf5f7e569d7c5f419c6911
F359,GSM2528464,358,positional,9e8674f10f8a17af19d83e52e855416b
F360,GSM2528465,359,positional,9114961029b2845643211013ad795e53
F361,GSM2528466,360,positional,05b254c0cf0e2720b4d6c60c6c220a30
F362,GSM2528467,361,positional,c67e7ecbc453e40c80ab270163879ced
F363,GSM2528468,362,positional,0e33aa1e05f277d8a7415d3dc1531edb
F364,GSM2528469,363,positional,39e40157532c71cff956abbffa821e46
F365,GSM2528470,364,positional,6c59b465c6d5cb33438b9eaaaca0abcf
F366,GSM2528471,365,positional,c1f57bb759fccbb50aba750846948278
F367,GSM2528472,366,positional,49099a788d17eb339b2c054006c583c5
F368,GSM2528473,367,positional,5e93d0b091d545346b35d7810ddcd15b
F369,GSM2528474,368,positional,a47d155828635a2afed19b87aa4fb1f0
F370,GSM2528475,369,positional,2a57682c1144204c3cbd702ec1c81791
F371,GSM2528476,370,positional,d6055d4c50a80985ea410b5b8d7f93eb
F372,GSM2528477,371,positional,7f2c363fdb9eb58e757f72b2c56ae465
F373,GSM2528478,372,positional,31c592c06954375c1f5263105b71f0df
F374,GSM2528479,373,positional,c2570d81248c2215af233ad9134ab599
F375,GSM2528480,374,positional,ef03485bf6d09f571d994c807dcea339
F376,GSM2528481,375,positional,41eeed79f326e7980bd789865f9b571d
